Candidate ID=45570, InsertionTime=0.096748ns
Candidate ID=21353, InsertionTime=7.10123ns
Candidate ID=48396, InsertionTime=0.179099ns
Candidate ID=23873, InsertionTime=6.36448ns
Candidate ID=42164, InsertionTime=6.51999ns
Candidate ID=9840, InsertionTime=0.349407ns
Candidate ID=31198, InsertionTime=6.59634ns
Candidate ID=39542, InsertionTime=0.676749ns
Candidate ID=39509, InsertionTime=6.10068ns
Candidate ID=33905, InsertionTime=0.119208ns
Candidate ID=832, InsertionTime=0.162778ns
Candidate ID=41970, InsertionTime=0.137082ns
Candidate ID=1026, InsertionTime=0.163625ns
Candidate ID=23076, InsertionTime=0.884933ns
Candidate ID=38668, InsertionTime=0.260288ns
Candidate ID=18555, InsertionTime=0.0955ns
Candidate ID=753, InsertionTime=6.38286ns
Candidate ID=37512, InsertionTime=0.106789ns
Candidate ID=48948, InsertionTime=0.093539ns
Candidate ID=24960, InsertionTime=0.129206ns
Candidate ID=12307, InsertionTime=0.089167ns
Candidate ID=26440, InsertionTime=0.439919ns
Candidate ID=3955, InsertionTime=0.101722ns
Candidate ID=51189, InsertionTime=0.33385ns
Candidate ID=19635, InsertionTime=0.348049ns
Candidate ID=18582, InsertionTime=0.106829ns
Candidate ID=47270, InsertionTime=6.52307ns
Candidate ID=50618, InsertionTime=0.547048ns
Candidate ID=17349, InsertionTime=0.118164ns
Candidate ID=25023, InsertionTime=17.265ns
Candidate ID=7031, InsertionTime=0.348953ns
Candidate ID=29231, InsertionTime=0.216422ns
Candidate ID=50830, InsertionTime=6.74543ns
Candidate ID=1072, InsertionTime=0.357887ns
Candidate ID=49159, InsertionTime=6.6496ns
Candidate ID=32130, InsertionTime=0.239669ns
Candidate ID=36171, InsertionTime=0.256696ns
Candidate ID=43077, InsertionTime=6.73078ns
Candidate ID=38117, InsertionTime=0.207732ns
Candidate ID=31102, InsertionTime=6.95298ns
Candidate ID=12706, InsertionTime=0.37633ns
Candidate ID=23937, InsertionTime=6.79477ns
Candidate ID=22850, InsertionTime=0.349385ns
Candidate ID=41149, InsertionTime=0.193828ns
Candidate ID=27337, InsertionTime=6.95938ns
Candidate ID=8674, InsertionTime=6.88507ns
Candidate ID=2887, InsertionTime=0.103144ns
Candidate ID=27938, InsertionTime=0.214689ns
Candidate ID=37460, InsertionTime=0.137826ns
Candidate ID=49142, InsertionTime=0.169863ns
Candidate ID=18617, InsertionTime=0.118863ns
Candidate ID=15656, InsertionTime=0.098786ns
Candidate ID=10121, InsertionTime=0.094287ns
Candidate ID=46496, InsertionTime=0.097552ns
Candidate ID=51396, InsertionTime=0.094286ns
Candidate ID=51187, InsertionTime=0.086703ns
Candidate ID=53565, InsertionTime=0.089323ns
Candidate ID=46573, InsertionTime=0.088838ns
Candidate ID=45045, InsertionTime=0.08519ns
Candidate ID=48637, InsertionTime=0.102557ns
Candidate ID=28373, InsertionTime=0.114282ns
Candidate ID=2922, InsertionTime=0.096206ns
Candidate ID=26832, InsertionTime=0.116737ns
